"","Local Health Area","Year","Gender","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+","Total"
"0","British Columbia","1986","T","41594","167812","199209","196176","218240","254641","273286","266181","248264","195669","156688","143634","144835","139294","120433","100193","66845","40099","19669","10859","3003621"
"0","British Columbia","1987","T","42094","169356","203820","196497","217006","245783","275003","270902","250563","210829","163396","144435","145743","139936","126336","102649","70449","42028","20698","11128","3048651"
"0","British Columbia","1988","T","41941","172538","210669","199175","217883","237865","279202","277893","257289","224097","173461","146619","147392","141840","131991","103583","74296","44196","21624","11207","3114761"
"0","British Columbia","1989","T","43653","174884","217625","204588","217490","234949","284546","286256","267272","237411","184312","151010","147753","143292","137970","104170","78782","46333","23016","11413","3196725"
"0","British Columbia","1990","T","45562","178092","225296","210576","219243","237082","287441","296183","277902","253984","194270","156387","148685","145732","139726","107858","83478","48583","24096","11935","3292111"
"0","British Columbia","1991","T","45683","181281","230606","217220","217538","239414","284319","305346","288904","268718","204604","163974","149864","148228","140545","113110","86037","50682","25076","12638","3373787"
"0","British Columbia","1992","T","46700","186132","236024","226474","220324","245862","282816","312526","299536","274339","223560","172399","151807","150464","140635","118783","87761","53412","26156","13092","3468802"
"0","British Columbia","1993","T","46581","191333","240174","235539","224694","251257","281491","320942","311217","282904","240236","183181","155263","152736","141387","123590","88455","56154","27296","13342","3567772"
"0","British Columbia","1994","T","46756","193912","244908","244580","233334","253849","282965","329752","321771","294655","256604","195156","161210","154294","142748","128596","88784","59734","28679","13788","3676075"
"0","British Columbia","1995","T","47135","194219","248823","252385","241943","254264","286966","334471","332536","306610","274862","205597","167101","155778","145128","129802","91952","63630","30008","14180","3777390"
"0","British Columbia","1996","T","47593","194029","251264","257916","253415","259490","294800","333083","341421","318386","289900","215800","174032","156744","147919","130099","96548","65443","31781","14654","3874317"
"0","British Columbia","1997","T","45229","194166","254779","262376","259621","262084","295906","327950","348550","329092","295759","235355","181089","158342","150253","130691","101955","66747","33511","15128","3948583"
"0","British Columbia","1998","T","43156","190445","254935","263465","264604","259835","290452","316008","351783","336639","301740","250792","189830","160340","151899","131870","106767","67318","35398","15837","3983113"
"0","British Columbia","1999","T","42285","185044","252689","263112","269408","261826","283363","306652","352793","340933","308623","263782","199157","163265","152111","132833","111235","68014","37597","16653","4011375"
"0","British Columbia","2000","T","41441","179321","249560","262618","275221","263424","275417","302395","349111","344938","315476","278692","207163","166624","151934","135035","112333","70996","40178","17353","4039230"
"0","British Columbia","2001","T","40637","174306","247113","262615","280545","268329","269613","302810","341128","348920","323144","291306","216345","172210","152599","137884","113087","75389","41241","17660","4076881"
"0","British Columbia","2002","T","39767","169499","242153","263599","279818","274343","265107","298677","330772","349794","329979","294891","234803","179373","153685","139537","113662","79836","41880","18986","4100161"
"0","British Columbia","2003","T","40390","166358","236472","263850","277063","281278","262139","292628","318154","352093","336326","299775","250067","188981","155763","141178","114788","83899","42547","20188","4123937"
"0","British Columbia","2004","T","40161","165079","231635","262521","276634","286911","263687","285119","309095","354581","340403","307005","262992","199646","159408","141720","116091","87563","43564","21202","4155017"
"0","British Columbia","2005","T","40545","164689","226794","260680","278741","290835","268096","278698","305774","353688","344710","314710","277795","208646","163540","142279","118030","88916","46884","21714","4195764"
